,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,load_3_ntrials,load_3_ncorrect,load_3_rt_mean,load_3_rt_mean_outrmvd,load_3_rt_outrmvd,load_3_dprime,load_3_criterion,load_3_N,load_3_S,load_3_H,load_3_F,load_4_ntrials,load_4_ncorrect,load_4_rt_mean,load_4_rt_mean_outrmvd,load_4_rt_outrmvd,load_4_dprime,load_4_criterion,load_4_N,load_4_S,load_4_H,load_4_F,load_5_ntrials,load_5_ncorrect,load_5_rt_mean,load_5_rt_mean_outrmvd,load_5_rt_outrmvd,load_5_dprime,load_5_criterion,load_5_N,load_5_S,load_5_H,load_5_F,k,g,group
4373,42.0,30.0,1447.13333333,1447.13333333,0.0,1.13189764387,-0.0,21.0,21.0,15.0,6.0,14.0,11.0,1294.72727273,1294.72727273,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,10.0,1420.1,1420.1,0.0,1.24758289367,-0.443779077043,7.0,7.0,6.0,3.0,14.0,9.0,1663.44444444,1663.44444444,0.0,0.887558154085,0.623791446835,7.0,7.0,3.0,1.0,1.71428571429,-0.3,0.0
4374,42.0,29.0,1487.68965517,1487.68965517,0.0,1.48837882415,-0.92420178187,21.0,21.0,20.0,12.0,14.0,11.0,1571.81818182,1571.81818182,0.0,1.71413291415,-0.67705408728,7.0,7.0,7.0,3.0,14.0,9.0,1479.11111111,1479.11111111,0.0,0.96817172242,-1.05003468314,7.0,7.0,7.0,5.0,14.0,9.0,1393.44444444,1393.44444444,0.0,0.887558154085,-0.623791446835,7.0,7.0,6.0,4.0,1.52380952381,-0.387096774194,0.0
4375,42.0,31.0,1051.41935484,1051.41935484,0.0,1.30687014854,-0.222707774976,21.0,21.0,17.0,7.0,14.0,11.0,872.818181818,872.818181818,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,14.0,10.0,1119.1,1119.1,0.0,1.24758289367,-0.443779077043,7.0,7.0,6.0,3.0,14.0,10.0,1180.2,1180.2,0.0,1.24758289367,-0.443779077043,7.0,7.0,6.0,3.0,1.90476190476,-0.304347826087,0.0
4376,42.0,27.0,1101.14814815,1057.73076923,1.0,1.43447474717,1.28318619552,21.0,21.0,6.0,0.0,14.0,11.0,1197.27272727,1197.27272727,0.0,1.71413291415,0.67705408728,7.0,7.0,4.0,0.0,14.0,9.0,1106.77777778,1106.77777778,0.0,0.96817172242,1.05003468314,7.0,7.0,2.0,0.0,14.0,7.0,942.857142857,942.857142857,0.0,,,7.0,7.0,0.0,0.0,1.14285714286,0.0,0.0
4377,42.0,40.0,938.775,938.775,0.0,3.30959528589,-0.34562592616,21.0,21.0,21.0,2.0,14.0,14.0,881.428571429,881.428571429,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,14.0,980.071428571,980.071428571,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,12.0,957.5,957.5,0.0,2.10006936629,-0.48408586121,7.0,7.0,7.0,2.0,3.61904761905,-0.0909090909091,1.0
4378,42.0,28.0,961.071428571,935.555555556,1.0,0.868929269989,0.131484186938,21.0,21.0,13.0,6.0,14.0,12.0,992.5,992.5,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,7.0,875.714285714,875.714285714,0.0,0.0,0.565948821933,7.0,7.0,2.0,2.0,14.0,9.0,985.555555556,985.555555556,0.0,0.745961191726,-0.19296822607,7.0,7.0,5.0,3.0,1.33333333333,-0.333333333333,0.0
4379,42.0,31.0,1032.96774194,1032.96774194,0.0,1.27839185432,-0.0732471052283,21.0,21.0,16.0,6.0,14.0,11.0,922.0,922.0,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,10.0,1016.0,1016.0,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,14.0,10.0,1172.0,1172.0,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,1.90476190476,-0.285714285714,0.0
4380,42.0,27.0,1433.44444444,1380.11538462,1.0,0.733707747352,-0.0638734256196,21.0,21.0,14.0,8.0,14.0,10.0,1282.2,1282.2,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,14.0,9.0,1537.88888889,1537.88888889,0.0,0.745961191726,-0.19296822607,7.0,7.0,5.0,3.0,14.0,8.0,1505.0,1505.0,0.0,0.38593645214,-0.372980595863,7.0,7.0,5.0,4.0,1.14285714286,-0.380952380952,1.0
4381,42.0,42.0,944.595238095,919.585365854,1.0,4.00084713821,-0.0,21.0,21.0,21.0,0.0,14.0,14.0,950.714285714,950.714285714,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,14.0,882.857142857,882.857142857,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,14.0,1000.21428571,1000.21428571,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,4.0,0.0,0.0
4382,42.0,35.0,1421.48571429,1421.48571429,0.0,2.02161474918,0.298364342198,21.0,21.0,16.0,2.0,14.0,13.0,1316.92307692,1316.92307692,0.0,2.60169106823,0.233275010237,7.0,7.0,6.0,0.0,14.0,9.0,1575.66666667,1575.66666667,0.0,0.745961191726,0.19296822607,7.0,7.0,4.0,2.0,14.0,13.0,1419.30769231,1419.30769231,0.0,2.60169106823,0.233275010237,7.0,7.0,6.0,0.0,2.66666666667,-0.117647058824,1.0
4383,42.0,30.0,1494.73333333,1392.82758621,1.0,1.24758289367,0.443779077043,21.0,21.0,12.0,3.0,14.0,10.0,1626.0,1626.0,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,14.0,10.0,1329.1,1329.1,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,14.0,10.0,1529.1,1529.1,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,1.71428571429,-0.214285714286,0.0
4384,42.0,29.0,1498.4137931,1498.4137931,0.0,1.249454617,0.684444408286,21.0,21.0,10.0,2.0,14.0,7.0,1217.28571429,1217.28571429,0.0,,,7.0,7.0,0.0,0.0,14.0,10.0,1613.0,1613.0,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,14.0,12.0,1566.91666667,1566.91666667,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,1.52380952381,-0.181818181818,1.0
4385,42.0,23.0,2082.7826087,1904.22727273,1.0,0.600820670069,-1.36798085891,21.0,21.0,20.0,18.0,14.0,8.0,1855.25,1855.25,0.0,0.466550020474,-1.30084553412,7.0,7.0,7.0,6.0,14.0,7.0,1834.28571429,1834.28571429,0.0,0.0,-1.06757052388,7.0,7.0,6.0,6.0,14.0,8.0,2527.75,2527.75,0.0,0.466550020474,-1.30084553412,7.0,7.0,7.0,6.0,0.380952380952,-0.486486486486,1.0
4386,42.0,34.0,1437.38235294,1404.27272727,1.0,1.78001355627,0.177563745744,21.0,21.0,16.0,3.0,14.0,12.0,1545.91666667,1545.91666667,0.0,2.10006936629,0.48408586121,7.0,7.0,5.0,0.0,14.0,11.0,1425.45454545,1425.45454545,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,11.0,1330.90909091,1330.90909091,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,2.47619047619,-0.166666666667,0.0
4388,42.0,36.0,1392.02777778,1321.48571429,1.0,2.18531456603,-0.216514433769,21.0,21.0,19.0,4.0,14.0,13.0,1591.61538462,1591.61538462,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,14.0,11.0,1336.54545455,1336.54545455,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,12.0,1226.66666667,1226.66666667,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,2.85714285714,-0.181818181818,0.0
4389,42.0,35.0,1026.62857143,988.0,1.0,2.23434001588,0.551221186007,21.0,21.0,15.0,1.0,14.0,12.0,888.416666667,888.416666667,0.0,2.10006936629,0.48408586121,7.0,7.0,5.0,0.0,14.0,13.0,1150.84615385,1150.84615385,0.0,2.60169106823,0.233275010237,7.0,7.0,6.0,0.0,14.0,10.0,1031.0,1031.0,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,2.66666666667,-0.0666666666667,0.0
4390,42.0,32.0,1715.125,1667.87096774,1.0,1.44209167118,0.155097013657,21.0,21.0,15.0,4.0,14.0,11.0,1505.54545455,1505.54545455,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,14.0,10.0,2017.1,2017.1,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,14.0,11.0,1650.18181818,1650.18181818,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,2.09523809524,-0.222222222222,0.0
4391,42.0,38.0,1195.89473684,1154.97297297,1.0,2.87656641835,-0.56214035993,21.0,21.0,21.0,4.0,14.0,13.0,987.692307692,987.692307692,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,14.0,11.0,1272.0,1272.0,0.0,1.71413291415,-0.67705408728,7.0,7.0,7.0,3.0,14.0,14.0,1329.42857143,1329.42857143,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,3.2380952381,-0.166666666667,0.0
4392,42.0,36.0,1546.19444444,1484.08571429,1.0,2.18531456603,-0.216514433769,21.0,21.0,19.0,4.0,14.0,14.0,1403.64285714,1403.64285714,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,11.0,1802.72727273,1802.72727273,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,11.0,1471.09090909,1471.09090909,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,2.85714285714,-0.181818181818,0.0
4393,42.0,30.0,919.066666667,894.551724138,1.0,1.13189764387,-0.0,21.0,21.0,15.0,6.0,14.0,10.0,827.1,827.1,0.0,1.24758289367,-0.443779077043,7.0,7.0,6.0,3.0,14.0,12.0,928.416666667,928.416666667,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,8.0,1020.0,1020.0,0.0,0.38593645214,0.372980595863,7.0,7.0,3.0,2.0,1.71428571429,-0.3,0.0
4394,42.0,37.0,922.783783784,892.833333333,1.0,2.37674224066,0.120800596454,21.0,21.0,18.0,2.0,14.0,12.0,860.0,860.0,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,12.0,980.0,980.0,0.0,2.10006936629,0.48408586121,7.0,7.0,5.0,0.0,14.0,13.0,927.923076923,927.923076923,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,3.04761904762,-0.105263157895,0.0
4395,42.0,27.0,1473.07407407,1473.07407407,0.0,0.772160132175,0.326362966302,21.0,21.0,11.0,5.0,14.0,9.0,1635.66666667,1635.66666667,0.0,0.887558154085,0.623791446835,7.0,7.0,3.0,1.0,14.0,8.0,1246.25,1246.25,0.0,0.360024739585,6.93889390391e-17,7.0,7.0,4.0,3.0,14.0,10.0,1508.2,1508.2,0.0,1.24758289367,0.443779077043,7.0,7.0,4.0,1.0,1.14285714286,-0.333333333333,0.0
4396,42.0,25.0,1368.8,1226.66666667,1.0,0.636843224583,-0.749148911587,21.0,21.0,18.0,14.0,14.0,7.0,1008.57142857,1008.57142857,0.0,0.0,-1.06757052388,7.0,7.0,6.0,6.0,14.0,10.0,1946.0,1946.0,0.0,1.35410817456,-0.857066457073,7.0,7.0,7.0,4.0,14.0,8.0,962.5,962.5,0.0,0.38593645214,-0.372980595863,7.0,7.0,5.0,4.0,0.761904761905,-0.451612903226,0.0
4397,42.0,29.0,1148.31034483,1148.31034483,0.0,0.996676121228,0.0676107613187,21.0,21.0,14.0,6.0,14.0,12.0,1300.91666667,1300.91666667,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,6.0,936.666666667,936.666666667,0.0,-0.360024739585,6.93889390391e-17,7.0,7.0,3.0,4.0,14.0,11.0,1097.27272727,1097.27272727,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,1.52380952381,-0.315789473684,0.0
4398,42.0,29.0,1148.31034483,1148.31034483,0.0,0.996676121228,0.0676107613187,21.0,21.0,14.0,6.0,14.0,12.0,1300.91666667,1300.91666667,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,6.0,936.666666667,936.666666667,0.0,-0.360024739585,6.93889390391e-17,7.0,7.0,3.0,4.0,14.0,11.0,1097.27272727,1097.27272727,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,1.52380952381,-0.315789473684,0.0
4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4401,42.0,31.0,1620.12903226,1620.12903226,0.0,1.27839185432,-0.0732471052283,21.0,21.0,16.0,6.0,14.0,12.0,1625.91666667,1625.91666667,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,8.0,1694.0,1694.0,0.0,0.38593645214,-0.372980595863,7.0,7.0,5.0,4.0,14.0,11.0,1560.09090909,1560.09090909,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,1.90476190476,-0.285714285714,0.0
4402,42.0,21.0,1313.42857143,1185.6,1.0,0.0,0.430727299295,21.0,21.0,7.0,7.0,14.0,10.0,1284.1,1284.1,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,14.0,7.0,1035.85714286,1035.85714286,0.0,,,7.0,7.0,0.0,0.0,14.0,4.0,1872.5,1872.5,0.0,-1.13189764387,-0.0,7.0,7.0,2.0,5.0,0.0,-0.538461538462,1.0
4403,42.0,31.0,1664.61290323,1559.43333333,1.0,1.27839185432,-0.0732471052283,21.0,21.0,16.0,6.0,14.0,11.0,1431.09090909,1431.09090909,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,7.0,1885.85714286,1885.85714286,0.0,0.0,0.180012369793,7.0,7.0,3.0,3.0,14.0,13.0,1743.07692308,1486.66666667,1.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,1.90476190476,-0.285714285714,0.0
4404,42.0,31.0,1323.64516129,1258.1,1.0,1.30687014854,-0.222707774976,21.0,21.0,17.0,7.0,14.0,11.0,1492.81818182,1492.81818182,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,14.0,10.0,1301.1,1301.1,0.0,1.35410817456,-0.857066457073,7.0,7.0,7.0,4.0,14.0,10.0,1160.1,1160.1,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,1.90476190476,-0.304347826087,0.0
4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4409,42.0,30.0,1596.83333333,1436.72413793,1.0,1.36888881657,0.6247273085,21.0,21.0,11.0,2.0,14.0,11.0,1262.90909091,1262.90909091,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,14.0,9.0,1882.33333333,1882.33333333,0.0,0.887558154085,0.623791446835,7.0,7.0,3.0,1.0,14.0,10.0,1707.2,1707.2,0.0,1.35410817456,0.857066457073,7.0,7.0,3.0,0.0,1.71428571429,-0.166666666667,0.0
4410,42.0,30.0,1075.73333333,1020.06896552,1.0,1.14317033168,0.140857866547,21.0,21.0,14.0,5.0,14.0,9.0,810.222222222,810.222222222,0.0,0.745961191726,0.19296822607,7.0,7.0,4.0,2.0,14.0,8.0,1372.5,1372.5,0.0,0.38593645214,0.372980595863,7.0,7.0,3.0,2.0,14.0,13.0,1076.92307692,1076.92307692,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,1.71428571429,-0.277777777778,1.0
4411,42.0,25.0,1802.16,1491.83333333,1.0,0.482992817849,0.0614840391318,21.0,21.0,12.0,8.0,14.0,11.0,1672.0,1672.0,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,5.0,944.0,944.0,0.0,,,7.0,7.0,0.0,2.0,14.0,9.0,2438.0,2438.0,0.0,0.887558154085,-0.623791446835,7.0,7.0,6.0,4.0,0.761904761905,-0.421052631579,0.0
4412,42.0,36.0,1129.0,1129.0,0.0,2.38083422634,-0.477974080779,21.0,21.0,20.0,5.0,14.0,12.0,1029.16666667,1029.16666667,0.0,2.10006936629,-0.48408586121,7.0,7.0,7.0,2.0,14.0,11.0,1250.09090909,1250.09090909,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,14.0,13.0,1118.69230769,1118.69230769,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,2.85714285714,-0.208333333333,0.0
4413,42.0,36.0,1555.66666667,1555.66666667,0.0,2.13514104776,1.11022302463e-16,21.0,21.0,18.0,3.0,14.0,14.0,1545.78571429,1545.78571429,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,12.0,1541.83333333,1541.83333333,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,10.0,1586.1,1586.1,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,2.85714285714,-0.15,1.0
4414,42.0,36.0,1500.36111111,1500.36111111,0.0,2.13514104776,1.11022302463e-16,21.0,21.0,18.0,3.0,14.0,12.0,1590.08333333,1590.08333333,0.0,2.10006936629,0.48408586121,7.0,7.0,5.0,0.0,14.0,12.0,1526.83333333,1526.83333333,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,12.0,1384.16666667,1384.16666667,0.0,2.10006936629,-0.48408586121,7.0,7.0,7.0,2.0,2.85714285714,-0.15,0.0
4415,42.0,37.0,1296.54054054,1246.72222222,1.0,2.54453404319,-0.39612417235,21.0,21.0,20.0,4.0,14.0,13.0,1250.92307692,1097.66666667,1.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,14.0,12.0,1323.33333333,1323.33333333,0.0,2.10006936629,-0.48408586121,7.0,7.0,7.0,2.0,14.0,12.0,1319.16666667,1319.16666667,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,3.04761904762,-0.173913043478,0.0
4416,42.0,24.0,1349.25,1183.13043478,1.0,0.409462584333,-0.507711740223,21.0,21.0,16.0,13.0,14.0,7.0,940.0,940.0,0.0,0.0,-0.180012369793,7.0,7.0,4.0,4.0,14.0,10.0,1037.1,1037.1,0.0,1.35410817456,-0.857066457073,7.0,7.0,7.0,4.0,14.0,7.0,2204.42857143,2204.42857143,0.0,0.0,-0.565948821933,7.0,7.0,5.0,5.0,0.571428571429,-0.464285714286,0.0
4417,42.0,35.0,1172.34285714,1109.76470588,1.0,2.23434001588,-0.551221186007,21.0,21.0,20.0,6.0,14.0,12.0,903.333333333,903.333333333,0.0,2.13514104776,1.11022302463e-16,7.0,7.0,6.0,1.0,14.0,11.0,1030.0,1030.0,0.0,1.71413291415,-0.67705408728,7.0,7.0,7.0,3.0,14.0,12.0,1571.83333333,1571.83333333,0.0,2.10006936629,-0.48408586121,7.0,7.0,7.0,2.0,2.66666666667,-0.24,0.0
4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4420,42.0,32.0,1430.78125,1430.78125,0.0,1.44209167118,0.155097013657,21.0,21.0,15.0,4.0,14.0,12.0,1316.83333333,1316.83333333,0.0,2.10006936629,0.48408586121,7.0,7.0,5.0,0.0,14.0,10.0,1472.1,1472.1,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,14.0,10.0,1526.2,1526.2,0.0,1.13189764387,-0.0,7.0,7.0,5.0,2.0,2.09523809524,-0.222222222222,0.0
4421,42.0,38.0,941.342105263,905.972972973,1.0,2.61834343357,-0.0,21.0,21.0,19.0,2.0,14.0,14.0,827.857142857,827.857142857,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,13.0,970.769230769,864.166666667,1.0,2.60169106823,0.233275010237,7.0,7.0,6.0,0.0,14.0,11.0,1051.0,1051.0,0.0,1.63351934581,-0.250810850973,7.0,7.0,6.0,2.0,3.2380952381,-0.1,0.0
4422,42.0,36.0,1101.16666667,1037.77142857,1.0,2.18531456603,-0.216514433769,21.0,21.0,19.0,4.0,14.0,14.0,949.357142857,949.357142857,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,11.0,1083.63636364,1083.63636364,0.0,1.63351934581,0.250810850973,7.0,7.0,5.0,1.0,14.0,11.0,1311.90909091,1311.90909091,0.0,1.71413291415,-0.67705408728,7.0,7.0,7.0,3.0,2.85714285714,-0.181818181818,0.0
4423,42.0,22.0,1172.77272727,1172.77272727,0.0,0.122968078264,0.241496408924,21.0,21.0,9.0,8.0,14.0,9.0,1211.11111111,1211.11111111,0.0,0.96817172242,1.05003468314,7.0,7.0,2.0,0.0,14.0,5.0,1482.2,1482.2,0.0,-0.745961191726,-0.19296822607,7.0,7.0,3.0,5.0,14.0,8.0,936.25,936.25,0.0,0.360024739585,6.93889390391e-17,7.0,7.0,4.0,3.0,0.190476190476,-0.5,1.0
4424,42.0,31.0,2471.41935484,2471.41935484,0.0,1.37055097193,-0.382295037911,21.0,21.0,18.0,8.0,14.0,13.0,2683.30769231,2683.30769231,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,14.0,9.0,2095.55555556,2095.55555556,0.0,0.745961191726,-0.19296822607,7.0,7.0,5.0,3.0,14.0,9.0,2541.22222222,2541.22222222,0.0,0.887558154085,-0.623791446835,7.0,7.0,6.0,4.0,1.90476190476,-0.32,1.0
4425,42.0,37.0,1413.59459459,1413.59459459,0.0,2.7128666015,-0.643990268358,21.0,21.0,21.0,5.0,14.0,14.0,1393.71428571,1393.71428571,0.0,3.06824108871,-0.0,7.0,7.0,7.0,0.0,14.0,13.0,1385.38461538,1385.38461538,0.0,2.60169106823,-0.233275010237,7.0,7.0,7.0,1.0,14.0,10.0,1478.1,1478.1,0.0,1.35410817456,-0.857066457073,7.0,7.0,7.0,4.0,3.04761904762,-0.2,0.0
